order_id,주문일,채널,sku,제품명,색상,수량,판매단가,판매금액,주문상태,배송지역,기획전
OWN-260501-004,2026-05-01,자사몰,TOTE-001-XS,TOTE BRIEF 001 XS,Forest Green,1,56050,56050,결제완료,대전,
SSG-260501-001,2026-05-01,SSG,HDL-PCH-001,HANDLE POUCH 001,Silver,1,25000,25000,배송완료,부산,
SSG-260501-001,2026-05-01,SSG,TOTE-001-XS,TOTE BRIEF 001 XS,Sand,1,59000,59000,배송완료,부산,
SSG-260501-002,2026-05-01,SSG,CAM-PCH-001,CAMERA POUCH 001,Cream,1,35000,35000,교환,대전,
SSG-260501-003,2026-05-01,SSG,CITY-LC-001,CITY BOYS LAPTOP CASE,Cloud Cream,2,62000,124000,배송완료,대구,
29C-260502-001,2026-05-02,29CM,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Stone Grey,1,159000,159000,배송완료,경기,
29C-260502-002,2026-05-02,29CM,TOTE-001-XS,TOTE BRIEF 001 XS,Sand,1,59000,59000,배송완료,부산,
29C-260502-002,2026-05-02,29CM,HDL-PCH-001,HANDLE POUCH 001,Black,1,25000,25000,배송완료,부산,
29C-260502-003,2026-05-02,29CM,VOY-DP-003,VOYAGER DAYPACK 003,Midnight Black,1,119000,119000,배송완료,경기,
29C-260502-004,2026-05-02,29CM,CAM-PCH-001,CAMERA POUCH 001,Stone Grey,1,35000,35000,배송완료,대구,
29C-260502-005,2026-05-02,29CM,CAM-PCH-001,CAMERA POUCH 001,Sand,1,35000,35000,배송완료,기타,
29C-260502-005,2026-05-02,29CM,SHD-BAG-M,SHOULDER BAG M,Midnight Black,1,109000,109000,배송완료,기타,
29C-260502-006,2026-05-02,29CM,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Midnight Black,1,59000,59000,배송완료,광주,
29C-260502-007,2026-05-02,29CM,HLM-BAG-001,HELMET BAG 001,Stone Grey,1,79000,79000,배송완료,경기,
DTY-260502-001,2026-05-02,면세점,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Sand,1,124000,124000,배송완료,광주,
MUS-260502-001,2026-05-02,무신사,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Midnight Black,1,159000,159000,환불,경기,
MUS-260502-002,2026-05-02,무신사,CAM-PCH-001,CAMERA POUCH 001,Cream,1,35000,35000,배송완료,대구,
MUS-260502-003,2026-05-02,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Sand,1,119000,119000,배송완료,경기,
MUS-260502-003,2026-05-02,무신사,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Cloud Cream,1,159000,159000,배송완료,경기,
MUS-260502-004,2026-05-02,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Midnight Black,1,119000,119000,배송완료,서울,
MUS-260502-005,2026-05-02,무신사,HLM-BAG-001,HELMET BAG 001,Stone Grey,1,79000,79000,배송완료,대구,
MUS-260502-006,2026-05-02,무신사,HDL-PCH-002,HANDLE POUCH 002,Cream,1,25000,25000,배송완료,부산,
MUS-260502-007,2026-05-02,무신사,TOTE-001-XS,TOTE BRIEF 001 XS,Summer Grey,1,59000,59000,배송완료,인천,
OWN-260502-001,2026-05-02,자사몰,CITY-RK-001S,CITY BOYS RUCKSACK 001 S,Grape Grey,1,166500,166500,배송완료,서울,
OWN-260502-002,2026-05-02,자사몰,HDL-PCH-002,HANDLE POUCH 002,Stone Grey,1,25000,25000,배송완료,기타,
OWN-260502-002,2026-05-02,자사몰,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Stone Grey,1,151050,151050,배송완료,기타,
OWN-260502-003,2026-05-02,자사몰,CITY-LC-001,CITY BOYS LAPTOP CASE,Midnight Black,1,58900,58900,배송완료,경기,
OWN-260502-004,2026-05-02,자사몰,SHD-BAG-M,SHOULDER BAG M,Grape Grey,1,103550,103550,배송완료,경기,
OWN-260502-004,2026-05-02,자사몰,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Summer Grey,1,50150,50150,배송완료,경기,
OWN-260502-005,2026-05-02,자사몰,BOAT-TT-M,BOAT TOTE BAG M,Stone Grey,1,84550,84550,결제완료,경기,
OWN-260502-006,2026-05-02,자사몰,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Midnight Black,1,50150,50150,배송완료,기타,
OWN-260502-007,2026-05-02,자사몰,SHD-BAG-M,SHOULDER BAG M,Midnight Black,1,103550,103550,환불,서울,
OWN-260502-008,2026-05-02,자사몰,BOAT-TT-M,BOAT TOTE BAG M,Stone Grey,1,84550,84550,배송완료,부산,
OWN-260502-008,2026-05-02,자사몰,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Sand,1,50150,50150,배송완료,부산,
OWN-260502-009,2026-05-02,자사몰,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Cloud Cream,1,50150,50150,배송완료,부산,
OWN-260502-010,2026-05-02,자사몰,BOAT-TT-M,BOAT TOTE BAG M,Summer Grey,1,84550,84550,배송완료,부산,
OWN-260502-011,2026-05-02,자사몰,BOAT-TT-M,BOAT TOTE BAG M,Sand,1,84550,84550,배송완료,서울,
OWN-260502-011,2026-05-02,자사몰,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Stone Grey,2,151050,302100,배송완료,서울,
OWN-260502-012,2026-05-02,자사몰,SHD-BAG-M,SHOULDER BAG M,Stone Grey,1,103550,103550,결제완료,대구,
OWN-260502-012,2026-05-02,자사몰,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Grape Grey,1,151050,151050,결제완료,대구,
OWN-260502-013,2026-05-02,자사몰,BOAT-TT-M,BOAT TOTE BAG M,Midnight Black,1,84550,84550,배송완료,부산,
OWN-260502-013,2026-05-02,자사몰,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Cloud Cream,1,151050,151050,배송완료,부산,
SSG-260502-001,2026-05-02,SSG,VOY-DP-003,VOYAGER DAYPACK 003,Summer Grey,1,119000,119000,배송완료,서울,
SSG-260502-001,2026-05-02,SSG,CITY-LC-001,CITY BOYS LAPTOP CASE,Summer Grey,1,62000,62000,배송완료,서울,
SSG-260502-001,2026-05-02,SSG,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Sand,1,159000,159000,배송완료,서울,
SSG-260502-002,2026-05-02,SSG,CITY-LC-001,CITY BOYS LAPTOP CASE,Grape Grey,1,62000,62000,배송완료,광주,
SSG-260502-002,2026-05-02,SSG,BOAT-TT-M,BOAT TOTE BAG M,Grape Grey,1,89000,89000,배송완료,광주,
29C-260503-001,2026-05-03,29CM,VOY-DP-003,VOYAGER DAYPACK 003,Cloud Cream,1,107100,107100,배송완료,대구,봄맞이 Voyager 신상 기획전
29C-260503-001,2026-05-03,29CM,HLM-BAG-001,HELMET BAG 001,Midnight Black,1,71100,71100,배송완료,대구,봄맞이 Voyager 신상 기획전
29C-260503-002,2026-05-03,29CM,VOY-DP-003,VOYAGER DAYPACK 003,Stone Grey,1,107100,107100,배송완료,부산,봄맞이 Voyager 신상 기획전
29C-260503-003,2026-05-03,29CM,VOY-DP-003,VOYAGER DAYPACK 003,Forest Green,1,107100,107100,배송완료,인천,봄맞이 Voyager 신상 기획전
29C-260503-004,2026-05-03,29CM,VOY-DP-003,VOYAGER DAYPACK 003,Forest Green,2,107100,214200,결제완료,대전,봄맞이 Voyager 신상 기획전
29C-260503-004,2026-05-03,29CM,VOY-DP-003,VOYAGER DAYPACK 003,Cloud Cream,1,107100,107100,결제완료,대전,봄맞이 Voyager 신상 기획전
29C-260503-004,2026-05-03,29CM,SHD-BAG-M,SHOULDER BAG M,Grape Grey,1,109000,109000,결제완료,대전,
29C-260503-005,2026-05-03,29CM,VOY-DP-003,VOYAGER DAYPACK 003,Midnight Black,1,107100,107100,배송완료,인천,봄맞이 Voyager 신상 기획전
29C-260503-005,2026-05-03,29CM,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Cloud Cream,1,53100,53100,배송완료,인천,봄맞이 Voyager 신상 기획전
29C-260503-006,2026-05-03,29CM,VOY-DP-003,VOYAGER DAYPACK 003,Midnight Black,1,107100,107100,배송완료,서울,봄맞이 Voyager 신상 기획전
29C-260503-007,2026-05-03,29CM,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Sand,1,53100,53100,배송완료,경기,봄맞이 Voyager 신상 기획전
29C-260503-007,2026-05-03,29CM,SHD-BAG-M,SHOULDER BAG M,Stone Grey,1,109000,109000,배송완료,경기,
29C-260503-008,2026-05-03,29CM,HLM-BAG-001,HELMET BAG 001,Sand,1,71100,71100,배송완료,부산,봄맞이 Voyager 신상 기획전
29C-260503-008,2026-05-03,29CM,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Summer Grey,1,53100,53100,배송완료,부산,봄맞이 Voyager 신상 기획전
29C-260503-009,2026-05-03,29CM,HLM-BAG-001,HELMET BAG 001,Midnight Black,1,71100,71100,배송완료,부산,봄맞이 Voyager 신상 기획전
29C-260503-010,2026-05-03,29CM,CITY-RK-001S,CITY BOYS RUCKSACK 001 S,Summer Grey,1,185000,185000,배송완료,대전,
29C-260503-011,2026-05-03,29CM,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Summer Grey,1,53100,53100,배송완료,서울,봄맞이 Voyager 신상 기획전
29C-260503-011,2026-05-03,29CM,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Grape Grey,2,53100,106200,배송완료,서울,봄맞이 Voyager 신상 기획전
29C-260503-012,2026-05-03,29CM,CITY-LC-001,CITY BOYS LAPTOP CASE,Sand,1,62000,62000,배송완료,기타,
29C-260503-012,2026-05-03,29CM,HLM-BAG-001,HELMET BAG 001,Cloud Cream,1,71100,71100,배송완료,기타,봄맞이 Voyager 신상 기획전
29C-260503-013,2026-05-03,29CM,BOAT-TT-M,BOAT TOTE BAG M,Grape Grey,1,89000,89000,배송완료,기타,
29C-260503-013,2026-05-03,29CM,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Summer Grey,1,159000,159000,배송완료,기타,
29C-260503-014,2026-05-03,29CM,VOY-DP-003,VOYAGER DAYPACK 003,Forest Green,1,107100,107100,결제완료,대구,봄맞이 Voyager 신상 기획전
29C-260503-015,2026-05-03,29CM,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Midnight Black,1,159000,159000,배송완료,대전,
DTY-260503-001,2026-05-03,면세점,HLM-BAG-001,HELMET BAG 001,Stone Grey,1,55450,55450,배송완료,서울,봄맞이 Voyager 신상 기획전
DTY-260503-001,2026-05-03,면세점,HLM-BAG-001,HELMET BAG 001,Stone Grey,1,55450,55450,배송완료,서울,봄맞이 Voyager 신상 기획전
DTY-260503-002,2026-05-03,면세점,TOTE-001-XS,TOTE BRIEF 001 XS,Stone Grey,1,46000,46000,배송완료,인천,
DTY-260503-003,2026-05-03,면세점,CITY-LC-001,CITY BOYS LAPTOP CASE,Stone Grey,1,48350,48350,환불,광주,
DTY-260503-004,2026-05-03,면세점,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Midnight Black,1,41400,41400,배송완료,경기,봄맞이 Voyager 신상 기획전
MUS-260503-001,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Midnight Black,1,107100,107100,결제완료,대구,봄맞이 Voyager 신상 기획전
MUS-260503-002,2026-05-03,무신사,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Cloud Cream,1,53100,53100,결제완료,경기,봄맞이 Voyager 신상 기획전
MUS-260503-003,2026-05-03,무신사,HDL-PCH-002,HANDLE POUCH 002,Black,1,25000,25000,배송완료,광주,
MUS-260503-004,2026-05-03,무신사,HLM-BAG-001,HELMET BAG 001,Grape Grey,1,71100,71100,배송완료,대구,봄맞이 Voyager 신상 기획전
MUS-260503-005,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Midnight Black,1,107100,107100,환불,경기,봄맞이 Voyager 신상 기획전
MUS-260503-006,2026-05-03,무신사,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Grape Grey,1,53100,53100,배송완료,광주,봄맞이 Voyager 신상 기획전
MUS-260503-007,2026-05-03,무신사,HLM-BAG-001,HELMET BAG 001,Midnight Black,1,71100,71100,배송완료,부산,봄맞이 Voyager 신상 기획전
MUS-260503-008,2026-05-03,무신사,HLM-BAG-001,HELMET BAG 001,Grape Grey,1,71100,71100,배송완료,대전,봄맞이 Voyager 신상 기획전
MUS-260503-009,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Sand,1,107100,107100,배송완료,인천,봄맞이 Voyager 신상 기획전
MUS-260503-010,2026-05-03,무신사,HLM-BAG-001,HELMET BAG 001,Sand,1,71100,71100,배송완료,인천,봄맞이 Voyager 신상 기획전
MUS-260503-011,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Stone Grey,1,107100,107100,결제완료,광주,봄맞이 Voyager 신상 기획전
MUS-260503-011,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Forest Green,1,107100,107100,결제완료,광주,봄맞이 Voyager 신상 기획전
MUS-260503-012,2026-05-03,무신사,HLM-BAG-001,HELMET BAG 001,Midnight Black,1,71100,71100,배송완료,경기,봄맞이 Voyager 신상 기획전
MUS-260503-012,2026-05-03,무신사,CAM-PCH-001,CAMERA POUCH 001,Stone Grey,1,35000,35000,배송완료,경기,
MUS-260503-013,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Cloud Cream,1,107100,107100,배송완료,기타,봄맞이 Voyager 신상 기획전
MUS-260503-014,2026-05-03,무신사,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Cloud Cream,1,53100,53100,배송완료,서울,봄맞이 Voyager 신상 기획전
MUS-260503-014,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Stone Grey,1,107100,107100,배송완료,서울,봄맞이 Voyager 신상 기획전
MUS-260503-015,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Cloud Cream,1,107100,107100,배송완료,대전,봄맞이 Voyager 신상 기획전
MUS-260503-015,2026-05-03,무신사,HLM-BAG-001,HELMET BAG 001,Midnight Black,1,71100,71100,배송완료,대전,봄맞이 Voyager 신상 기획전
MUS-260503-016,2026-05-03,무신사,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Forest Green,1,53100,53100,배송완료,대구,봄맞이 Voyager 신상 기획전
MUS-260503-016,2026-05-03,무신사,HLM-BAG-001,HELMET BAG 001,Stone Grey,1,71100,71100,배송완료,대구,봄맞이 Voyager 신상 기획전
MUS-260503-017,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Midnight Black,1,107100,107100,배송완료,경기,봄맞이 Voyager 신상 기획전
MUS-260503-017,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Stone Grey,1,107100,107100,배송완료,경기,봄맞이 Voyager 신상 기획전
MUS-260503-018,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Grape Grey,1,107100,107100,배송완료,대구,봄맞이 Voyager 신상 기획전
MUS-260503-018,2026-05-03,무신사,HLM-BAG-001,HELMET BAG 001,Summer Grey,1,71100,71100,배송완료,대구,봄맞이 Voyager 신상 기획전
MUS-260503-019,2026-05-03,무신사,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Cloud Cream,1,53100,53100,배송완료,대구,봄맞이 Voyager 신상 기획전
MUS-260503-019,2026-05-03,무신사,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Forest Green,1,53100,53100,배송완료,대구,봄맞이 Voyager 신상 기획전
MUS-260503-019,2026-05-03,무신사,HLM-BAG-001,HELMET BAG 001,Stone Grey,1,71100,71100,배송완료,대구,봄맞이 Voyager 신상 기획전
MUS-260503-020,2026-05-03,무신사,HLM-BAG-001,HELMET BAG 001,Summer Grey,1,71100,71100,배송완료,기타,봄맞이 Voyager 신상 기획전
MUS-260503-021,2026-05-03,무신사,HLM-BAG-001,HELMET BAG 001,Summer Grey,1,71100,71100,배송완료,기타,봄맞이 Voyager 신상 기획전
MUS-260503-021,2026-05-03,무신사,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Summer Grey,1,53100,53100,배송완료,기타,봄맞이 Voyager 신상 기획전
MUS-260503-022,2026-05-03,무신사,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Stone Grey,2,53100,106200,배송완료,경기,봄맞이 Voyager 신상 기획전
MUS-260503-023,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Sand,1,107100,107100,배송완료,광주,봄맞이 Voyager 신상 기획전
MUS-260503-023,2026-05-03,무신사,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Forest Green,1,159000,159000,배송완료,광주,
MUS-260503-024,2026-05-03,무신사,HLM-BAG-001,HELMET BAG 001,Forest Green,1,71100,71100,배송완료,서울,봄맞이 Voyager 신상 기획전
MUS-260503-024,2026-05-03,무신사,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Sand,1,53100,53100,배송완료,서울,봄맞이 Voyager 신상 기획전
MUS-260503-025,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Stone Grey,1,107100,107100,배송완료,광주,봄맞이 Voyager 신상 기획전
MUS-260503-026,2026-05-03,무신사,HLM-BAG-001,HELMET BAG 001,Summer Grey,1,71100,71100,배송완료,서울,봄맞이 Voyager 신상 기획전
MUS-260503-027,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Sand,1,107100,107100,배송완료,서울,봄맞이 Voyager 신상 기획전
MUS-260503-028,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Grape Grey,1,107100,107100,배송완료,경기,봄맞이 Voyager 신상 기획전
MUS-260503-028,2026-05-03,무신사,HLM-BAG-001,HELMET BAG 001,Forest Green,2,71100,142200,배송완료,경기,봄맞이 Voyager 신상 기획전
MUS-260503-029,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Cloud Cream,2,107100,214200,결제완료,인천,봄맞이 Voyager 신상 기획전
MUS-260503-030,2026-05-03,무신사,HLM-BAG-001,HELMET BAG 001,Sand,1,71100,71100,배송완료,대구,봄맞이 Voyager 신상 기획전
MUS-260503-031,2026-05-03,무신사,HLM-BAG-001,HELMET BAG 001,Sand,2,71100,142200,배송완료,기타,봄맞이 Voyager 신상 기획전
MUS-260503-031,2026-05-03,무신사,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Summer Grey,1,53100,53100,배송완료,기타,봄맞이 Voyager 신상 기획전
MUS-260503-031,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Midnight Black,1,107100,107100,배송완료,기타,봄맞이 Voyager 신상 기획전
MUS-260503-032,2026-05-03,무신사,HLM-BAG-001,HELMET BAG 001,Cloud Cream,1,71100,71100,결제완료,부산,봄맞이 Voyager 신상 기획전
MUS-260503-032,2026-05-03,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Grape Grey,1,107100,107100,결제완료,부산,봄맞이 Voyager 신상 기획전
OWN-260503-001,2026-05-03,자사몰,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Forest Green,1,45150,45150,배송완료,서울,봄맞이 Voyager 신상 기획전
OWN-260503-002,2026-05-03,자사몰,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Forest Green,2,45150,90300,배송완료,기타,봄맞이 Voyager 신상 기획전
OWN-260503-003,2026-05-03,자사몰,VOY-DP-003,VOYAGER DAYPACK 003,Forest Green,1,91050,91050,배송완료,부산,봄맞이 Voyager 신상 기획전
OWN-260503-004,2026-05-03,자사몰,HLM-BAG-001,HELMET BAG 001,Summer Grey,1,67550,67550,배송완료,서울,봄맞이 Voyager 신상 기획전
OWN-260503-005,2026-05-03,자사몰,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Sand,1,151050,151050,배송완료,경기,
OWN-260503-006,2026-05-03,자사몰,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Summer Grey,1,45150,45150,배송완료,기타,봄맞이 Voyager 신상 기획전
OWN-260503-007,2026-05-03,자사몰,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Forest Green,1,45150,45150,결제완료,광주,봄맞이 Voyager 신상 기획전
OWN-260503-007,2026-05-03,자사몰,SHD-BAG-M,SHOULDER BAG M,Midnight Black,1,103550,103550,결제완료,광주,
OWN-260503-008,2026-05-03,자사몰,HDL-PCH-002,HANDLE POUCH 002,Sand,1,25000,25000,배송완료,대전,
OWN-260503-009,2026-05-03,자사몰,VOY-DP-003,VOYAGER DAYPACK 003,Stone Grey,1,91050,91050,배송완료,서울,봄맞이 Voyager 신상 기획전
OWN-260503-010,2026-05-03,자사몰,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Forest Green,1,45150,45150,배송완료,대전,봄맞이 Voyager 신상 기획전
OWN-260503-011,2026-05-03,자사몰,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Forest Green,1,45150,45150,배송완료,인천,봄맞이 Voyager 신상 기획전
OWN-260503-012,2026-05-03,자사몰,VOY-DP-003,VOYAGER DAYPACK 003,Sand,1,91050,91050,결제완료,기타,봄맞이 Voyager 신상 기획전
OWN-260503-013,2026-05-03,자사몰,TOTE-001-XS,TOTE BRIEF 001 XS,Stone Grey,1,56050,56050,배송완료,경기,
OWN-260503-014,2026-05-03,자사몰,VOY-DP-003,VOYAGER DAYPACK 003,Forest Green,1,91050,91050,결제완료,경기,봄맞이 Voyager 신상 기획전
OWN-260503-015,2026-05-03,자사몰,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Forest Green,1,45150,45150,배송완료,대전,봄맞이 Voyager 신상 기획전
OWN-260503-016,2026-05-03,자사몰,VOY-DP-003,VOYAGER DAYPACK 003,Cloud Cream,1,91050,91050,배송완료,서울,봄맞이 Voyager 신상 기획전
OWN-260503-016,2026-05-03,자사몰,VOY-DP-003,VOYAGER DAYPACK 003,Stone Grey,1,91050,91050,배송완료,서울,봄맞이 Voyager 신상 기획전
OWN-260503-016,2026-05-03,자사몰,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Stone Grey,1,45150,45150,배송완료,서울,봄맞이 Voyager 신상 기획전
OWN-260503-017,2026-05-03,자사몰,CITY-LC-001,CITY BOYS LAPTOP CASE,Midnight Black,1,58900,58900,배송완료,광주,
OWN-260503-017,2026-05-03,자사몰,VOY-DP-003,VOYAGER DAYPACK 003,Stone Grey,1,91050,91050,배송완료,광주,봄맞이 Voyager 신상 기획전
OWN-260503-018,2026-05-03,자사몰,HLM-BAG-001,HELMET BAG 001,Stone Grey,1,67550,67550,배송완료,인천,봄맞이 Voyager 신상 기획전
OWN-260503-019,2026-05-03,자사몰,VOY-DP-003,VOYAGER DAYPACK 003,Midnight Black,1,91050,91050,배송완료,광주,봄맞이 Voyager 신상 기획전
OWN-260503-020,2026-05-03,자사몰,VOY-DP-003,VOYAGER DAYPACK 003,Forest Green,1,91050,91050,배송완료,대전,봄맞이 Voyager 신상 기획전
OWN-260503-021,2026-05-03,자사몰,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Forest Green,1,45150,45150,교환,대전,봄맞이 Voyager 신상 기획전
OWN-260503-022,2026-05-03,자사몰,HLM-BAG-001,HELMET BAG 001,Summer Grey,1,67550,67550,결제완료,서울,봄맞이 Voyager 신상 기획전
OWN-260503-023,2026-05-03,자사몰,CITY-RK-001S,CITY BOYS RUCKSACK 001 S,Sand,1,166500,166500,배송완료,대전,
OWN-260503-024,2026-05-03,자사몰,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Summer Grey,1,45150,45150,배송완료,인천,봄맞이 Voyager 신상 기획전
OWN-260503-025,2026-05-03,자사몰,VOY-DP-003,VOYAGER DAYPACK 003,Cloud Cream,1,91050,91050,결제완료,부산,봄맞이 Voyager 신상 기획전
OWN-260503-026,2026-05-03,자사몰,HLM-BAG-001,HELMET BAG 001,Cloud Cream,2,67550,135100,배송완료,대전,봄맞이 Voyager 신상 기획전
OWN-260503-027,2026-05-03,자사몰,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Cloud Cream,1,45150,45150,배송완료,대구,봄맞이 Voyager 신상 기획전
OWN-260503-028,2026-05-03,자사몰,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Stone Grey,1,45150,45150,배송완료,대구,봄맞이 Voyager 신상 기획전
OWN-260503-028,2026-05-03,자사몰,SHD-BAG-M,SHOULDER BAG M,Grape Grey,1,103550,103550,배송완료,대구,
