일자,사업부,카테고리,배송유형,거래액,순매출,주문건수
2026-01-04,그로서리,생수·음료,새벽배송,43210000,42780000,1638
2026-01-04,그로서리,생수·음료,쓱배송,53800000,53260000,1821
2026-01-04,그로서리,델리·베이커리,새벽배송,22180000,21630000,984
2026-01-04,그로서리,델리·베이커리,쓱배송,27180000,26500000,1065
2026-01-04,브랜드패션,명품·부티크,택배배송,150060000,27010000,177
2026-01-04,브랜드패션,패션의류,택배배송,109550000,24100000,1105
2026-01-04,브랜드패션,뷰티,택배배송,101140000,20230000,1568
2026-01-04,브랜드패션,스포츠·아웃도어,택배배송,65920000,13840000,697
2026-01-04,라이프스타일,가전·디지털,택배배송,168670000,11810000,479
2026-01-04,라이프스타일,리빙·주방,택배배송,85390000,10250000,1269
2026-01-04,라이프스타일,유아동,택배배송,53150000,6910000,947
2026-01-04,라이프스타일,반려동물,택배배송,37020000,4810000,834
2026-01-05,그로서리,신선식품,새벽배송,112940000,110680000,2677
2026-01-05,그로서리,신선식품,쓱배송,123800000,121320000,2993
2026-01-05,그로서리,가공식품,새벽배송,78590000,77410000,2258
2026-01-05,그로서리,가공식품,쓱배송,89240000,87900000,2337
2026-01-05,그로서리,생수·음료,새벽배송,44290000,43850000,1640
2026-01-05,그로서리,생수·음료,쓱배송,56450000,55890000,1913
2026-01-05,그로서리,델리·베이커리,새벽배송,22470000,21910000,872
2026-01-05,그로서리,델리·베이커리,쓱배송,26970000,26300000,1138
2026-01-05,브랜드패션,명품·부티크,택배배송,157680000,28380000,215
2026-01-05,브랜드패션,패션의류,택배배송,97950000,21550000,947
2026-01-05,브랜드패션,뷰티,택배배송,87360000,17470000,1319
2026-01-05,브랜드패션,스포츠·아웃도어,택배배송,59520000,12500000,627
2026-01-05,라이프스타일,가전·디지털,택배배송,167760000,11740000,482
2026-01-05,라이프스타일,리빙·주방,택배배송,81330000,9760000,1048
2026-01-05,라이프스타일,유아동,택배배송,50230000,6530000,857
2026-01-05,라이프스타일,반려동물,택배배송,32670000,4250000,746
2026-01-06,그로서리,신선식품,새벽배송,103860000,101780000,2572
2026-01-06,그로서리,신선식품,쓱배송,116480000,114150000,2572
2026-01-06,그로서리,가공식품,새벽배송,69680000,68630000,1818
2026-01-06,그로서리,가공식품,쓱배송,93200000,91800000,2257
2026-01-06,그로서리,생수·음료,새벽배송,38760000,38370000,1411
2026-01-06,그로서리,생수·음료,쓱배송,49740000,49240000,1905
2026-01-06,그로서리,델리·베이커리,새벽배송,19640000,19150000,834
2026-01-06,그로서리,델리·베이커리,쓱배송,26480000,25820000,1053
2026-01-06,브랜드패션,명품·부티크,택배배송,142220000,25600000,194
2026-01-06,브랜드패션,패션의류,택배배송,95690000,21050000,993
2026-01-06,브랜드패션,뷰티,택배배송,91600000,18320000,1510
2026-01-06,브랜드패션,스포츠·아웃도어,택배배송,58430000,12270000,654
2026-01-06,라이프스타일,가전·디지털,택배배송,155240000,10870000,436
2026-01-06,라이프스타일,리빙·주방,택배배송,76310000,9160000,1032
2026-01-06,라이프스타일,유아동,택배배송,52420000,6810000,968
2026-01-06,라이프스타일,반려동물,택배배송,34570000,4490000,793
2026-01-07,그로서리,신선식품,새벽배송,102550000,100500000,2341
2026-01-07,그로서리,신선식품,쓱배송,124280000,121790000,2968
2026-01-07,그로서리,가공식품,새벽배송,67460000,66450000,1712
2026-01-07,그로서리,가공식품,쓱배송,88370000,87040000,2117
2026-01-07,그로서리,생수·음료,새벽배송,37800000,37420000,1435
2026-01-07,그로서리,생수·음료,쓱배송,47080000,46610000,1626
2026-01-07,그로서리,델리·베이커리,새벽배송,18740000,18270000,720
2026-01-07,그로서리,델리·베이커리,쓱배송,23900000,23300000,983
2026-01-07,브랜드패션,명품·부티크,택배배송,151180000,27210000,202
2026-01-07,브랜드패션,패션의류,택배배송,103870000,22850000,1113
2026-01-07,브랜드패션,뷰티,택배배송,97380000,19480000,1554
2026-01-07,브랜드패션,스포츠·아웃도어,택배배송,59650000,12530000,708
2026-01-07,라이프스타일,가전·디지털,택배배송,162680000,11390000,463
2026-01-07,라이프스타일,리빙·주방,택배배송,83760000,10050000,1277
2026-01-07,라이프스타일,유아동,택배배송,56020000,7280000,1063
2026-01-07,라이프스타일,반려동물,택배배송,35560000,4620000,740
2026-01-08,그로서리,신선식품,새벽배송,101810000,99770000,2371
2026-01-08,그로서리,신선식품,쓱배송,125200000,122700000,3056
2026-01-08,그로서리,가공식품,새벽배송,65990000,65000000,1615
2026-01-08,그로서리,가공식품,쓱배송,83420000,82170000,2138
2026-01-08,그로서리,생수·음료,새벽배송,40100000,39700000,1586
2026-01-08,그로서리,생수·음료,쓱배송,46950000,46480000,1715
2026-01-08,그로서리,델리·베이커리,새벽배송,20010000,19510000,777
2026-01-08,그로서리,델리·베이커리,쓱배송,23000000,22420000,922
2026-01-08,브랜드패션,명품·부티크,택배배송,155830000,28050000,204
2026-01-08,브랜드패션,패션의류,택배배송,100720000,22160000,1041
2026-01-08,브랜드패션,뷰티,택배배송,93110000,18620000,1489
2026-01-08,브랜드패션,스포츠·아웃도어,택배배송,57840000,12150000,653
2026-01-08,라이프스타일,가전·디지털,택배배송,174940000,12250000,511
2026-01-08,라이프스타일,리빙·주방,택배배송,80770000,9690000,1242
2026-01-08,라이프스타일,유아동,택배배송,50670000,6590000,1000
2026-01-08,라이프스타일,반려동물,택배배송,33250000,4320000,696
2026-01-09,그로서리,신선식품,새벽배송,107790000,105630000,2440
2026-01-09,그로서리,신선식품,쓱배송,121970000,119530000,3154
2026-01-09,그로서리,가공식품,새벽배송,70490000,69430000,1687
2026-01-09,그로서리,가공식품,쓱배송,92720000,91330000,2440
2026-01-09,그로서리,생수·음료,새벽배송,39340000,38950000,1329
2026-01-09,그로서리,생수·음료,쓱배송,52670000,52140000,2121
2026-01-09,그로서리,델리·베이커리,새벽배송,21870000,21320000,864
2026-01-09,그로서리,델리·베이커리,쓱배송,25290000,24660000,1146
2026-01-09,브랜드패션,명품·부티크,택배배송,151080000,27190000,188
2026-01-09,브랜드패션,패션의류,택배배송,104970000,23090000,1190
2026-01-09,브랜드패션,뷰티,택배배송,103610000,20720000,1634
2026-01-09,브랜드패션,스포츠·아웃도어,택배배송,63200000,13270000,762
2026-01-09,라이프스타일,가전·디지털,택배배송,183340000,12830000,591
2026-01-09,라이프스타일,리빙·주방,택배배송,84610000,10150000,1251
2026-01-09,라이프스타일,유아동,택배배송,59290000,7710000,1062
2026-01-09,라이프스타일,반려동물,택배배송,36740000,4780000,759
2026-01-10,그로서리,신선식품,새벽배송,115420000,113110000,2617
2026-01-10,그로서리,신선식품,쓱배송,129200000,126620000,3239
2026-01-10,그로서리,가공식품,새벽배송,78340000,77160000,2003
2026-01-10,그로서리,가공식품,쓱배송,103050000,101500000,2566
2026-01-10,그로서리,생수·음료,새벽배송,46780000,46310000,1700
2026-01-10,그로서리,생수·음료,쓱배송,53080000,52550000,1801
2026-01-10,그로서리,델리·베이커리,새벽배송,21560000,21020000,859
2026-01-10,그로서리,델리·베이커리,쓱배송,25940000,25290000,1088
2026-01-10,브랜드패션,명품·부티크,택배배송,176830000,31830000,213
2026-01-10,브랜드패션,패션의류,택배배송,106690000,23470000,1070
2026-01-10,브랜드패션,뷰티,택배배송,99930000,19990000,1483
2026-01-10,브랜드패션,스포츠·아웃도어,택배배송,64940000,13640000,765
2026-01-10,라이프스타일,가전·디지털,택배배송,189650000,13280000,527
2026-01-10,라이프스타일,리빙·주방,택배배송,93610000,11230000,1219
2026-01-10,라이프스타일,유아동,택배배송,61530000,8000000,1216
2026-01-10,라이프스타일,반려동물,택배배송,40270000,5240000,790
2026-01-11,그로서리,신선식품,새벽배송,104710000,102620000,2313
2026-01-11,그로서리,신선식품,쓱배송,136610000,133880000,3113
2026-01-11,그로서리,가공식품,새벽배송,85460000,84180000,2115
2026-01-11,그로서리,가공식품,쓱배송,98730000,97250000,2596
2026-01-11,그로서리,생수·음료,새벽배송,44400000,43960000,1733
2026-01-11,그로서리,생수·음료,쓱배송,53850000,53310000,2138
2026-01-11,그로서리,델리·베이커리,새벽배송,21530000,20990000,948
2026-01-11,그로서리,델리·베이커리,쓱배송,27020000,26340000,1083
2026-01-11,브랜드패션,명품·부티크,택배배송,171290000,30830000,226
2026-01-11,브랜드패션,패션의류,택배배송,105110000,23120000,1067
2026-01-11,브랜드패션,뷰티,택배배송,103330000,20670000,1577
2026-01-11,브랜드패션,스포츠·아웃도어,택배배송,60770000,12760000,633
2026-01-11,라이프스타일,가전·디지털,택배배송,174530000,12220000,530
2026-01-11,라이프스타일,리빙·주방,택배배송,85290000,10230000,1295
2026-01-11,라이프스타일,유아동,택배배송,57230000,7440000,1000
2026-01-11,라이프스타일,반려동물,택배배송,34050000,4430000,691
2026-01-12,그로서리,신선식품,새벽배송,147710000,144760000,3318
2026-01-12,그로서리,신선식품,쓱배송,184870000,181170000,4514
2026-01-12,그로서리,가공식품,새벽배송,103790000,102230000,2767
2026-01-12,그로서리,가공식품,쓱배송,130680000,128720000,3154
2026-01-12,그로서리,생수·음료,새벽배송,45070000,44620000,1774
2026-01-12,그로서리,생수·음료,쓱배송,56130000,55570000,1907
2026-01-12,그로서리,델리·베이커리,새벽배송,22000000,21450000,911
2026-01-12,그로서리,델리·베이커리,쓱배송,26480000,25820000,1047
2026-01-12,브랜드패션,명품·부티크,택배배송,199100000,35840000,232
2026-01-12,브랜드패션,패션의류,택배배송,93310000,20530000,986
2026-01-12,브랜드패션,뷰티,택배배송,93980000,18800000,1443
2026-01-12,브랜드패션,스포츠·아웃도어,택배배송,53610000,11260000,573
2026-01-12,라이프스타일,가전·디지털,택배배송,157800000,11050000,452
2026-01-12,라이프스타일,리빙·주방,택배배송,77070000,9250000,1043
2026-01-12,라이프스타일,유아동,택배배송,52700000,6850000,903
2026-01-12,라이프스타일,반려동물,택배배송,35530000,4620000,816
2026-01-13,그로서리,신선식품,새벽배송,135930000,133210000,3181
2026-01-13,그로서리,신선식품,쓱배송,172410000,168960000,3926
2026-01-13,그로서리,가공식품,새벽배송,101010000,99490000,2717
2026-01-13,그로서리,가공식품,쓱배송,119460000,117670000,3491
2026-01-13,그로서리,생수·음료,새벽배송,37780000,37400000,1488
2026-01-13,그로서리,생수·음료,쓱배송,50000000,49500000,1809
2026-01-13,그로서리,델리·베이커리,새벽배송,19740000,19250000,755
2026-01-13,그로서리,델리·베이커리,쓱배송,23840000,23240000,982
2026-01-13,브랜드패션,명품·부티크,택배배송,205320000,36960000,244
2026-01-13,브랜드패션,패션의류,택배배송,91590000,20150000,890
2026-01-13,브랜드패션,뷰티,택배배송,94630000,18930000,1476
2026-01-13,브랜드패션,스포츠·아웃도어,택배배송,56370000,11840000,647
2026-01-13,라이프스타일,가전·디지털,택배배송,168360000,11790000,450
2026-01-13,라이프스타일,리빙·주방,택배배송,78630000,9440000,1070
2026-01-13,라이프스타일,유아동,택배배송,53740000,6990000,954
2026-01-13,라이프스타일,반려동물,택배배송,32100000,4170000,671
2026-01-14,그로서리,신선식품,새벽배송,126400000,123870000,3062
2026-01-14,그로서리,신선식품,쓱배송,161280000,158050000,3577
2026-01-14,그로서리,가공식품,새벽배송,95160000,93730000,2712
2026-01-14,그로서리,가공식품,쓱배송,125530000,123650000,3210
2026-01-14,그로서리,생수·음료,새벽배송,40460000,40060000,1613
2026-01-14,그로서리,생수·음료,쓱배송,45020000,44570000,1573
2026-01-14,그로서리,델리·베이커리,새벽배송,18660000,18190000,808
2026-01-14,그로서리,델리·베이커리,쓱배송,23380000,22800000,1012
2026-01-14,브랜드패션,명품·부티크,택배배송,215200000,38740000,258
2026-01-14,브랜드패션,패션의류,택배배송,102120000,22470000,1171
2026-01-14,브랜드패션,뷰티,택배배송,91730000,18350000,1621
2026-01-14,브랜드패션,스포츠·아웃도어,택배배송,56510000,11870000,684
2026-01-14,라이프스타일,가전·디지털,택배배송,158230000,11080000,453
2026-01-14,라이프스타일,리빙·주방,택배배송,83370000,10000000,1170
2026-01-14,라이프스타일,유아동,택배배송,53250000,6920000,907
2026-01-14,라이프스타일,반려동물,택배배송,32060000,4170000,659
2026-01-15,그로서리,신선식품,새벽배송,130790000,128170000,2984
2026-01-15,그로서리,신선식품,쓱배송,155570000,152460000,4063
2026-01-15,그로서리,가공식품,새벽배송,96900000,95450000,2422
2026-01-15,그로서리,가공식품,쓱배송,123370000,121520000,3262
2026-01-15,그로서리,생수·음료,새벽배송,40270000,39870000,1537
2026-01-15,그로서리,생수·음료,쓱배송,51650000,51130000,1763
2026-01-15,그로서리,델리·베이커리,새벽배송,19340000,18860000,798
2026-01-15,그로서리,델리·베이커리,쓱배송,25240000,24610000,1061
2026-01-15,브랜드패션,명품·부티크,택배배송,199100000,35840000,253
2026-01-15,브랜드패션,패션의류,택배배송,100510000,22110000,1074
2026-01-15,브랜드패션,뷰티,택배배송,86750000,17350000,1537
2026-01-15,브랜드패션,스포츠·아웃도어,택배배송,56430000,11850000,642
2026-01-15,라이프스타일,가전·디지털,택배배송,170740000,11950000,520
2026-01-15,라이프스타일,리빙·주방,택배배송,88960000,10680000,1150
2026-01-15,라이프스타일,유아동,택배배송,53360000,6940000,968
2026-01-15,라이프스타일,반려동물,택배배송,35380000,4600000,763
2026-01-16,그로서리,신선식품,새벽배송,147090000,144150000,3348
2026-01-16,그로서리,신선식품,쓱배송,174430000,170940000,4431
2026-01-16,그로서리,가공식품,새벽배송,102790000,101250000,2818
2026-01-16,그로서리,가공식품,쓱배송,122280000,120450000,3269
2026-01-16,그로서리,생수·음료,새벽배송,42380000,41960000,1505
2026-01-16,그로서리,생수·음료,쓱배송,50720000,50210000,1734
2026-01-16,그로서리,델리·베이커리,새벽배송,20370000,19860000,795
2026-01-16,그로서리,델리·베이커리,쓱배송,25550000,24910000,1082
2026-01-16,브랜드패션,명품·부티크,택배배송,208030000,37450000,288
2026-01-16,브랜드패션,패션의류,택배배송,113240000,24910000,1226
2026-01-16,브랜드패션,뷰티,택배배송,94920000,18980000,1544
2026-01-16,브랜드패션,스포츠·아웃도어,택배배송,60650000,12740000,666
2026-01-16,라이프스타일,가전·디지털,택배배송,179390000,12560000,576
2026-01-16,라이프스타일,리빙·주방,택배배송,85450000,10250000,1284
2026-01-16,라이프스타일,유아동,택배배송,54650000,7100000,1052
2026-01-16,라이프스타일,반려동물,택배배송,34190000,4440000,779
2026-01-17,그로서리,신선식품,새벽배송,141000000,138180000,3660
2026-01-17,그로서리,신선식품,쓱배송,181010000,177390000,4770
2026-01-17,그로서리,가공식품,새벽배송,108100000,106480000,2927
2026-01-17,그로서리,가공식품,쓱배송,132650000,130660000,3821
2026-01-17,그로서리,생수·음료,새벽배송,44050000,43610000,1745
2026-01-17,그로서리,생수·음료,쓱배송,57700000,57120000,2272
2026-01-17,그로서리,델리·베이커리,새벽배송,20980000,20460000,909
2026-01-17,그로서리,델리·베이커리,쓱배송,28590000,27880000,1312
2026-01-17,브랜드패션,명품·부티크,택배배송,224720000,40450000,281
2026-01-17,브랜드패션,패션의류,택배배송,112950000,24850000,1099
2026-01-17,브랜드패션,뷰티,택배배송,101110000,20220000,1714
2026-01-17,브랜드패션,스포츠·아웃도어,택배배송,62040000,13030000,706
2026-01-17,라이프스타일,가전·디지털,택배배송,183180000,12820000,582
2026-01-17,라이프스타일,리빙·주방,택배배송,98020000,11760000,1375
2026-01-17,라이프스타일,유아동,택배배송,57740000,7510000,1005
2026-01-17,라이프스타일,반려동물,택배배송,35110000,4560000,692
2026-01-18,그로서리,신선식품,새벽배송,153330000,150260000,3724
2026-01-18,그로서리,신선식품,쓱배송,174370000,170880000,4522
2026-01-18,그로서리,가공식품,새벽배송,112980000,111290000,2733
2026-01-18,그로서리,가공식품,쓱배송,134460000,132440000,3258
2026-01-18,그로서리,생수·음료,새벽배송,48000000,47520000,1705
2026-01-18,그로서리,생수·음료,쓱배송,52330000,51810000,1931
2026-01-18,그로서리,델리·베이커리,새벽배송,21730000,21190000,911
2026-01-18,그로서리,델리·베이커리,쓱배송,26170000,25520000,1022
2026-01-18,브랜드패션,명품·부티크,택배배송,236620000,42590000,310
2026-01-18,브랜드패션,패션의류,택배배송,100820000,22180000,963
2026-01-18,브랜드패션,뷰티,택배배송,97500000,19500000,1741
2026-01-18,브랜드패션,스포츠·아웃도어,택배배송,61180000,12850000,712
2026-01-18,라이프스타일,가전·디지털,택배배송,178450000,12490000,543
2026-01-18,라이프스타일,리빙·주방,택배배송,89510000,10740000,1278
2026-01-18,라이프스타일,유아동,택배배송,58750000,7640000,1208
2026-01-18,라이프스타일,반려동물,택배배송,37530000,4880000,750
2026-01-19,그로서리,신선식품,새벽배송,139930000,137130000,3120
2026-01-19,그로서리,신선식품,쓱배송,178610000,175040000,4529
2026-01-19,그로서리,가공식품,새벽배송,103320000,101770000,2640
2026-01-19,그로서리,가공식품,쓱배송,135500000,133470000,3327
2026-01-19,그로서리,생수·음료,새벽배송,41890000,41470000,1438
2026-01-19,그로서리,생수·음료,쓱배송,56240000,55680000,2077
2026-01-19,그로서리,델리·베이커리,새벽배송,22690000,22120000,932
2026-01-19,그로서리,델리·베이커리,쓱배송,25700000,25060000,1171
2026-01-19,브랜드패션,명품·부티크,택배배송,202530000,36460000,265
2026-01-19,브랜드패션,패션의류,택배배송,102050000,22450000,1077
2026-01-19,브랜드패션,뷰티,택배배송,92360000,18470000,1375
2026-01-19,브랜드패션,스포츠·아웃도어,택배배송,56230000,11810000,627
2026-01-19,라이프스타일,가전·디지털,택배배송,177600000,12430000,502
2026-01-19,라이프스타일,리빙·주방,택배배송,76260000,9150000,1007
2026-01-19,라이프스타일,유아동,택배배송,52250000,6790000,1067
2026-01-19,라이프스타일,반려동물,택배배송,35590000,4630000,727
2026-01-20,그로서리,신선식품,새벽배송,134280000,131590000,3417
2026-01-20,그로서리,신선식품,쓱배송,164070000,160790000,4234
2026-01-20,그로서리,가공식품,새벽배송,101690000,100160000,2576
2026-01-20,그로서리,가공식품,쓱배송,117590000,115830000,2885
2026-01-20,그로서리,생수·음료,새벽배송,39530000,39130000,1614
2026-01-20,그로서리,생수·음료,쓱배송,51050000,50540000,1816
2026-01-20,그로서리,델리·베이커리,새벽배송,19380000,18900000,788
2026-01-20,그로서리,델리·베이커리,쓱배송,26270000,25610000,1016
2026-01-20,브랜드패션,명품·부티크,택배배송,210160000,37830000,289
2026-01-20,브랜드패션,패션의류,택배배송,98600000,21690000,1064
2026-01-20,브랜드패션,뷰티,택배배송,90190000,18040000,1442
2026-01-20,브랜드패션,스포츠·아웃도어,택배배송,55710000,11700000,641
2026-01-20,라이프스타일,가전·디지털,택배배송,173760000,12160000,522
2026-01-20,라이프스타일,리빙·주방,택배배송,81640000,9800000,1142
2026-01-20,라이프스타일,유아동,택배배송,48820000,6350000,903
2026-01-20,라이프스타일,반려동물,택배배송,33620000,4370000,724
2026-01-21,그로서리,신선식품,새벽배송,128230000,125670000,3021
2026-01-21,그로서리,신선식품,쓱배송,153150000,150090000,4005
2026-01-21,그로서리,가공식품,새벽배송,100360000,98850000,2565
2026-01-21,그로서리,가공식품,쓱배송,116170000,114430000,3335
2026-01-21,그로서리,생수·음료,새벽배송,37930000,37550000,1297
2026-01-21,그로서리,생수·음료,쓱배송,47890000,47410000,1896
2026-01-21,그로서리,델리·베이커리,새벽배송,19170000,18690000,753
2026-01-21,그로서리,델리·베이커리,쓱배송,24770000,24150000,944
2026-01-21,브랜드패션,명품·부티크,택배배송,194300000,34970000,238
2026-01-21,브랜드패션,패션의류,택배배송,93330000,20530000,1041
2026-01-21,브랜드패션,뷰티,택배배송,90180000,18040000,1405
2026-01-21,브랜드패션,스포츠·아웃도어,택배배송,60320000,12670000,659
2026-01-21,라이프스타일,가전·디지털,택배배송,163290000,11430000,529
2026-01-21,라이프스타일,리빙·주방,택배배송,81510000,9780000,1139
2026-01-21,라이프스타일,유아동,택배배송,49830000,6480000,854
2026-01-21,라이프스타일,반려동물,택배배송,33080000,4300000,661
2026-01-22,그로서리,신선식품,새벽배송,133760000,131080000,3361
2026-01-22,그로서리,신선식품,쓱배송,168180000,164820000,4329
2026-01-22,그로서리,가공식품,새벽배송,98530000,97050000,2761
2026-01-22,그로서리,가공식품,쓱배송,116790000,115040000,3171
2026-01-22,그로서리,생수·음료,새벽배송,40410000,40010000,1416
2026-01-22,그로서리,생수·음료,쓱배송,48490000,48010000,1648
2026-01-22,그로서리,델리·베이커리,새벽배송,20120000,19620000,845
2026-01-22,그로서리,델리·베이커리,쓱배송,23290000,22710000,895
2026-01-22,브랜드패션,명품·부티크,택배배송,213500000,38430000,278
2026-01-22,브랜드패션,패션의류,택배배송,95580000,21030000,962
2026-01-22,브랜드패션,뷰티,택배배송,87550000,17510000,1566
2026-01-22,브랜드패션,스포츠·아웃도어,택배배송,62620000,13150000,697
2026-01-22,라이프스타일,가전·디지털,택배배송,179580000,12570000,499
2026-01-22,라이프스타일,리빙·주방,택배배송,84600000,10150000,1096
2026-01-22,라이프스타일,유아동,택배배송,50680000,6590000,867
2026-01-22,라이프스타일,반려동물,택배배송,32750000,4260000,639
2026-01-23,그로서리,신선식품,새벽배송,131820000,129180000,2899
2026-01-23,그로서리,신선식품,쓱배송,180510000,176900000,4636
2026-01-23,그로서리,가공식품,새벽배송,102350000,100810000,2495
2026-01-23,그로서리,가공식품,쓱배송,131310000,129340000,3282
2026-01-23,그로서리,생수·음료,새벽배송,39160000,38770000,1349
2026-01-23,그로서리,생수·음료,쓱배송,51670000,51150000,2119
2026-01-23,그로서리,델리·베이커리,새벽배송,21650000,21110000,947
2026-01-23,그로서리,델리·베이커리,쓱배송,25270000,24640000,1008
2026-01-23,브랜드패션,명품·부티크,택배배송,214750000,38660000,303
2026-01-23,브랜드패션,패션의류,택배배송,101490000,22330000,1098
2026-01-23,브랜드패션,뷰티,택배배송,102700000,20540000,1760
2026-01-23,브랜드패션,스포츠·아웃도어,택배배송,59150000,12420000,640
2026-01-23,라이프스타일,가전·디지털,택배배송,172580000,12080000,499
2026-01-23,라이프스타일,리빙·주방,택배배송,81860000,9820000,1260
2026-01-23,라이프스타일,유아동,택배배송,58640000,7620000,1097
2026-01-23,라이프스타일,반려동물,택배배송,37150000,4830000,807
2026-01-24,그로서리,신선식품,새벽배송,149670000,146680000,3946
2026-01-24,그로서리,신선식품,쓱배송,189240000,185460000,4273
2026-01-24,그로서리,가공식품,새벽배송,115100000,113370000,3001
2026-01-24,그로서리,가공식품,쓱배송,138840000,136760000,3576
2026-01-24,그로서리,생수·음료,새벽배송,46330000,45870000,1781
2026-01-24,그로서리,생수·음료,쓱배송,56650000,56080000,1964
2026-01-24,그로서리,델리·베이커리,새벽배송,22690000,22120000,928
2026-01-24,그로서리,델리·베이커리,쓱배송,27440000,26750000,1121
2026-01-24,브랜드패션,명품·부티크,택배배송,228890000,41200000,293
2026-01-24,브랜드패션,패션의류,택배배송,103660000,22810000,1067
2026-01-24,브랜드패션,뷰티,택배배송,102270000,20450000,1616
2026-01-24,브랜드패션,스포츠·아웃도어,택배배송,68830000,14450000,810
2026-01-24,라이프스타일,가전·디지털,택배배송,184290000,12900000,515
2026-01-24,라이프스타일,리빙·주방,택배배송,86230000,10350000,1248
2026-01-24,라이프스타일,유아동,택배배송,59430000,7730000,1060
2026-01-24,라이프스타일,반려동물,택배배송,39220000,5100000,783
2026-01-25,그로서리,신선식품,새벽배송,150420000,147410000,3965
2026-01-25,그로서리,신선식품,쓱배송,200080000,196080000,4859
2026-01-25,그로서리,가공식품,새벽배송,111250000,109580000,3164
2026-01-25,그로서리,가공식품,쓱배송,138140000,136070000,3896
2026-01-25,그로서리,생수·음료,새벽배송,44380000,43940000,1494
2026-01-25,그로서리,생수·음료,쓱배송,58040000,57460000,2331
2026-01-25,그로서리,델리·베이커리,새벽배송,22350000,21790000,927
2026-01-25,그로서리,델리·베이커리,쓱배송,28300000,27590000,1166
2026-01-25,브랜드패션,명품·부티크,택배배송,216070000,38890000,263
2026-01-25,브랜드패션,패션의류,택배배송,99690000,21930000,965
